loggingTime,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,deviceID,deviceOrientationTimeStamp_since1970,deviceOrientation,label
1706575242.950492,1,317246.0611365,-0.1671600341796875,-0.57501220703125,-1.083450317382812,317245.9759945,0.184760257601738,-0.009021724574267864,-0.1423233151435852,317245.9972805,-0.1454516210313732,0.0324719937149577,0.4985352381414439,0.4243657290935516,-0.7164430022239685,-0.1609854400157928,-0.01429341547191143,-0.02912366390228271,-0.09744459390640259,2,0.2471529725336264,-0.002230951537960716,-0.06641214344731476,0.9666953341561262,0.02851461619138718,-0.4781395792961121,-0.8778208494186401,16.79804992675781,3.896255493164062,10.05155944824219,-1,2,317244.789022125,1,2,1706575241.67402,0,,,0
1706575243.052702,2,317246.1613025,-0.19537353515625,-0.52752685546875,-0.6979522705078125,317246.0761615,1.240609407424927,-0.9461995363235474,-0.7788524031639099,317246.0974465,-0.2056636767101942,-0.04342041212709701,0.5796672349530346,1.501258611679077,-1.022907137870789,-0.7674052119255066,-0.1827085912227631,0.04983597993850708,-0.196568489074707,2,0.282080634668601,-0.05002309545826181,-0.1045174693987598,0.9523677278584242,-0.03631605580449104,-0.5477455854415894,-0.8358564376831055,17.30390930175781,5.486171722412109,8.188186645507812,-1,2,,,,,0,,,0
1706575243.151016,3,317246.26146925,-1.048568725585938,-0.7410125732421875,-0.6626739501953125,317246.1763275,0.912596583366394,-3.626005172729492,-0.6078166961669922,317246.1976135,-0.2845256492812305,-0.2848380533052096,0.7160348677328335,0.5221072435379028,-1.587462067604065,-0.7426584362983704,-0.1827528923749924,0.006709694862365723,0.03280901908874512,2,0.324517636632528,-0.1807757255197375,-0.1806841637543689,0.9106929775364245,-0.2119919657707214,-0.6563984751701355,-0.7240169048309326,18.40589904785156,7.841236114501953,1.941604614257812,-1,2,,,,,0,,,0
1706575243.252867,4,317246.36163525,-0.529266357421875,-0.3628387451171875,-0.159423828125,317246.27649425,-0.160041332244873,-1.806451201438904,-2.569775104522705,317246.29777925,-0.4607705677056973,-0.2401803774694646,0.7277319509274018,1.079711079597473,-3.542632818222046,-3.300991296768188,-0.7142716646194458,0.07238912582397461,-0.2470232844352722,2,0.3184252395993621,-0.1896830598868962,-0.253374695490779,0.8935473437592337,-0.1776197850704193,-0.6651778221130371,-0.7252514362335205,17.62630462646484,9.739810943603516,1.502243041992188,-1,2,,,,,0,,,0
1706575243.351343,5,317246.46180225,-0.0757904052734375,-0.0815887451171875,-0.0813751220703125,317246.37666025,0.3269104659557343,-4.372191429138184,-2.467030763626099,317246.39794625,-0.7797098142092341,-0.4486183463509692,0.9282977391307282,-0.1049175560474396,-4.256307601928711,-2.277530908584595,-0.08638301491737366,0.480502188205719,0.4245185256004333,2,0.3281050681496729,-0.3498490274865373,-0.4234348093299424,0.7685413104182596,-0.2598846554756165,-0.8006011247634888,-0.5399054288864136,13.00831604003906,14.62018203735352,-7.249130249023438,-1,2,,,,,0,,,0
1706575243.453108,6,317246.56196825,0.0418548583984375,0.2999267578125,-0.24798583984375,317246.47682725,0.2553806304931641,-5.794027328491211,-1.053955316543579,317246.49811225,-1.008750680045856,-0.7371225286778309,1.004730969128778,0.5846958756446838,-6.351353645324707,-0.2676103711128235,0.417115181684494,0.8213736414909363,0.1832084655761719,2,0.2406394707489023,-0.4935050026022454,-0.546979469307119,0.6319484955949328,-0.3604897856712341,-0.8440176844596863,-0.3970909118652344,5.993568420410156,16.51153182983398,-12.17582702636719,-1,2,,,,,0,,,0
1706575243.551692,7,317246.66213525,-0.9155120849609375,1.337295532226562,0.1886444091796875,317246.57699325,1.948392629623413,-5.080759525299072,3.404938697814941,317246.59827925,-0.6849531310236172,-1.54643883076905,0.8628812985071731,2.076996088027954,-4.286228179931641,4.748848915100098,0.6025578379631042,1.2238609790802,-0.09729170799255371,2,0.06883845224282216,-0.6980994220067472,-0.4934249068172264,0.5142474505715781,-0.6500585079193115,-0.7597192525863647,-0.01583692990243435,1.309837341308594,14.26914596557617,-16.54574584960938,-1,2,,,,,0,,,0
1706575243.653098,8,317246.76230125,-2.653610229492188,2.307571411132812,0.1044464111328125,317246.67716025,0.3899970352649689,0.5646694898605347,9.895864486694336,317246.69844525,-0.660710505982353,-1.728134144266237,0.04572744890574128,-0.50064617395401,0.6891777515411377,10.45389842987061,-0.4712702631950378,2.070278167724609,0.112547755241394,2,-0.2325799677966036,-0.7239954425081445,-0.2270264713946617,0.6084374964859187,-0.9866155385971069,-0.04571151360869408,0.1565256863832474,6.814689636230469,6.499843597412109,-19.86088562011719,-1,2,,,,,0,,,0
1706575243.751814,9,317246.86246825,-1.750442504882812,1.127822875976562,-0.4198150634765625,317246.77732625,0.9232755899429321,-1.809337496757507,8.08989429473877,317246.79861225,-0.8540572498563935,-1.942793314863152,-0.8334699339602823,-0.1349929571151733,-0.2989369928836823,7.431887626647949,-1.764847040176392,1.193141937255859,0.08345042169094086,2,-0.520548441751459,-0.5926331060150988,0.09054707743141636,0.6079610041833315,-0.6263273358345032,0.7402687072753906,0.2443693578243256,4.786964416503906,0.5914840698242188,-15.96588134765625,-1,2,,,,,0,,,0
1706575243.852814,10,317246.96263425,-1.108200073242188,0.9796142578125,0.0030670166015625,317246.87749325,1.842354893684387,0.1807516664266586,3.854557037353516,317246.89877825,-1.289695906837681,-2.282780905949225,-1.294206732005536,2.374600172042847,0.01141483057290316,3.774602890014648,-1.055408954620361,0.09712022542953491,-0.3696647882461548,2,-0.6366159098018794,-0.4288656207815743,0.2384170730735203,0.5949384460240612,-0.2067370861768723,0.9619923233985901,0.1784110814332962,8.095352172851562,-1.924369812011719,-15.96498107910156,-1,2,,,,,0,,,0
1706575243.952406,11,317247.06280125,-1.147506713867188,0.7415313720703125,0.2874298095703125,317246.97765925,2.035350322723389,0.4291196763515472,2.61690354347229,317246.99894525,2.247429508151767,1.299906117502958,-1.471799136551168,1.768763780593872,-0.04757695645093918,2.241194725036621,-1.114580988883972,-0.06006026268005371,0.2187237739562988,2,-0.6355034262014793,-0.2879435971368814,0.3564827364980164,0.6214049392902076,0.09523285180330276,0.9951037764549255,-0.02644775994122028,8.737625122070312,-8.01934814453125,-16.08647155761719,-1,2,,,,,0,,,0
1706575244.053044,12,317247.16296725,-1.141342163085938,1.16497802734375,0.20867919921875,317247.07782625,0.4431803524494171,-1.517039895057678,-0.6765185594558716,317247.09911125,1.83933695898873,0.8123037545771487,-1.380465220572732,0.06954655796289444,-1.968156576156616,-1.694581747055054,-1.369684934616089,-0.2764515280723572,0.4079431891441345,2,-0.5968229725163989,-0.2806049245865862,0.4109744709084404,0.6294150549648678,0.1373240798711777,0.9819416403770447,-0.1301264315843582,7.286468505859375,-9.573200225830078,-15.94064331054688,-1,2,,,,,0,,,0
